,,open,minister,food,china,home,know,chinese,look,restaurant,need,include,play,life,use,government,japan,want,day,way,world,old,country,come,people,like,good,art,time,new,work,firm,cost,global,start,investment,help,design,add,product,technology,financial,service,asia,customer,industry,bank,market,business,company,income,yesterday,earning,share,asset,continue,end,stock,revenue,profit,low,month,group,net,quarter,2013,increase,price,rate,billion,expect,rise,high,growth,march,counter,share price,director,offer,exchange,list,acquire,week,unit,close,trading,purchase,shareholder,average,issue,bitcoin,holding,trade,executive,launch,developer,sq,area,sale,land,site,development,project,property,cma,offshore,information,large,oil,cloud,datum,vessel,wine,value,economic,international,report,psf,private,board,sell,buyer,public,state,plan,member,provide,fund,space,create,local,team,award,event,brand,grow,investor,second,june,2014,fall,policy,inflation,economy,sgx,management,system,corporate,bond,interest,buy,energy,residential,hotel,building,office,construction,set,point,2015,region,build,security,think,thing,city,place,chef,lee,total,reit,keppel,term,budget,support,sector,april,capital,ocbc,dbs,information publish,target price,publish,loan,target,noble,remain,watch,car,big,dollar,currency,east,lim,worker,2011,constituency,wp,national,general,vote,candidate,singaporean,grc,election,pap,party,dish,japanese,room,music,president,american,artist,film,singpost,loss,iran,base,sme,trump,central,centre,trust,2016,course,water,index,note,change,swiber,family,find,presidential,political,payment,job,hong kong,kong,hong,housing,industrial,estate,2017,tax,future,programme,lng,maritime,ago,digital,airline,airport,road,cash,india,foreign,north korea,korea,north,organisation,contract,risk,employee,ceo,corporate governance,governance,solution,number,gst,2018,deal,economist,game,asean,fintech,house,healthcare,news,online,july,measure,acquisition,community,regional,long,diversity,app,retail,grab,fuel,30,innovation,live,brexit,real,2019,analyst,gain,cyber,culture,startup,experience,equity,hyflux,cut,net profit,june 30,result,period,partner
2014Q1,0,392.4868483020051,395.1611073100511,395.41778777969716,396.09787553675426,410.6848315991282,422.8312877175447,433.12493234259284,438.9144354142558,443.9213493427695,452.2697063321865,461.55746254720117,462.2499833093326,466.9852304032,474.2542994185051,474.91830948142893,503.95314966390066,508.14917858213835,509.64167622866586,524.3252752344412,568.439508093979,587.6031052384204,588.6213508679767,597.303393661923,732.8636975068641,770.1533410534204,807.9502996235955,860.6329954461463,910.946880734267,1000.7972709745742,1328.78504536622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014Q1,1,,,,,,,,,,718.6336183944193,399.06318696994776,,,623.4285189777572,376.8079388802151,,,,,389.570307797248,,,436.74817510870685,538.297490193222,,500.2635688231382,,640.2402082560815,766.933612806174,464.8407128540287,389.48345259214733,392.9857248130994,393.1752192669269,393.872107666398,450.5753553245353,477.2291124585524,485.63191390445655,492.01195648553835,508.2486211365055,514.1012019053226,518.9021455472148,539.3529446285778,542.2862095242671,567.9560980807804,614.8795123614017,943.8618044521116,1065.3478327353478,1407.8785332704153,1541.7589751145224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014Q1,2,,,,1217.516821856514,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.8647680489735,,,,,,,,,,,,,,1096.7783188168532,2598.172859551572,1018.5466006425303,1094.6197005658817,862.4273516913071,881.2805606572323,911.3250241134205,913.6312754264587,921.0004738712976,950.4347591521314,967.0328421723514,989.1992768883489,1001.7153695567216,1030.0043938086508,1039.149053693084,1059.730330524758,1120.033077234348,1161.6731354205447,1177.999997140841,1184.7867762724636,1190.7199424946173,1271.0004553528731,1289.8637186705191,1317.2847006844843,1334.9609472014524,1350.98926144526,1584.505418135927,1954.8285737533379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014Q1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.49305346308438,,223.55345995301548,,,,,,,,,,,,,,,,223.14706397705424,,531.5201229533268,,255.367694803515,,1587.8144198245477,,,,286.8502505512167,,196.78955786382087,,,442.5509677487909,,,512.2001097972473,,560.5780759832597,,,,,,,176.468277981338,177.49671160755997,178.70512426712406,182.2191211153707,190.67085822699335,193.6530488857427,198.2523623036718,204.64138583415027,212.36669894939155,229.58347810120347,238.18818304190313,259.972018896946,266.3051525963409,268.32833818070804,279.6571155069298,295.67537757135966,305.1967762683304,314.34389943940477,339.2259270177266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014Q1,4,,,,,367.7443027041505,,,,,,407.33477348594346,,,,,,,,,,,,,,,,,388.20650708764515,623.1694618631991,,,,,,452.0663726249127,,,,,,,490.7303792504183,551.3415187648972,,,378.85106676208324,811.079371204856,544.7370962749776,715.2690903719865,,347.7517411509281,,,,,,,,,,,401.0151398431979,,,,,865.4538509755353,,418.04466989809083,438.7278584922388,,431.19816723778007,,,,,,357.323640155346,,,,,831.6368982012535,,,,,,,,,,351.2944978920083,367.8280842896667,389.0882598114046,399.9175688343568,417.0970506355382,434.9144537222819,517.6117984901175,524.3026160537466,573.7850802812775,602.9268650576957,921.9377388514048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014Q2,0,,,,236.90134753497256,,,,,,195.91083356940237,,,,262.99376262988125,,,,,,,,,,,,,,291.83416425487513,288.148290640911,,,168.3930327939269,,,212.57907110966096,,,169.55062317799437,,,,244.03025906793422,,215.54265489210283,,,438.6022504362356,332.1034416700723,457.1925985784539,,202.03683583396497,,439.7058103605563,,,,,,,,,306.5115918645414,,,,,396.97432666063014,,326.88135999559194,,,217.3294308770899,,,,,,547.4795926139012,,,,,,,,,,,,,,,,,,,,,,,,,,169.00987123799052,169.1558220060294,171.34166974596147,175.3408196310025,190.32290352150088,192.862316230149,201.76372416179814,202.81995140829235,222.1083836883219,242.54121909422554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014Q2,1,,389.3908396559583,,,,,,,,369.08936278169267,417.42254653608774,,,438.6963063197763,435.42087651595995,,,,,850.8853411406674,,604.828007393952,415.19804915949186,386.48239891291297,310.6415439497259,338.4977006203145,,672.7702225052408,743.3568106627542,389.91443881963716,349.4616810678139,,382.0191333812013,,,319.98164866417596,,330.39365377620703,,349.34505983146903,,,369.51185719086675,,316.2602988703236,,294.5366118563853,684.0596103784698,637.1090177601811,,,,,,,,,,,,,293.48251014125685,,,,,,,,,,322.727797807099,,,,,318.0041538471882,,,,,,,,,,,,,,,,,,,,,,,,357.4991997898934,,,,,,,,,,,,,349.99775546556725,390.8021801150313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014Q2,2,,,,1174.6546601063328,,,,,,,,,,,,,,,,,,,,,,,,,851.3547372996388,,,,,,960.2732445738118,,,,,,,,,,,1284.3840423079323,2591.1911264385685,1023.5969052498506,1458.9008071976527,,1010.1575602325802,,2098.143860244747,818.4634018208637,806.1586193064965,843.2348649458896,1044.362518099135,1029.8813366492484,892.8569775104475,840.3998125044674,1135.4709094910418,1227.6661257012718,995.0454944003102,1435.6918620434103,,981.5692466448659,1350.8664579237548,967.4236911208602,1154.0452205008007,1096.013298421199,1333.1626924799755,1517.5217047645467,1746.0452851735433,,,,,,,,,,,,,,,,,,,801.5863552894006,,,,,,,,,,,,,,,,,,,,,,,,910.3607921328147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014Q2,3,,,,298.2134668007657,270.57999469089634,,,,,,,,,,334.0550696157297,309.1747535783179,,,,,,,,,,,,295.06495729284,560.8250619799263,,,,,,329.3065945073654,,,,,,,,,,,,571.330572005903,,,,,,,,,,,,,,294.68135313065375,281.05883977841563,,,,,787.7772355899704,,,341.1106174256719,,352.08857619078583,,,,,355.29179065195035,,,,,,810.1220764364559,,,,,,,,,,,365.787595871691,409.1080869623499,327.05355911732386,298.2893163370296,442.77744889425014,465.11273221572395,426.5544448256563,499.7037861449033,806.4155828641088,694.1135958766478,,,,,,,,,,,,,,278.99406721867564,287.96376363427714,288.6098196261361,314.55983373508434,343.15363729690273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014Q2,4,,,,,,467.5771092152728,,555.2184326439334,481.7640530352279,788.0491841446132,467.10666426061033,,,627.7580364563049,,,599.345782605551,472.54785047406546,514.5232245784149,506.83207426969574,,,658.0173439858054,858.6872671735738,771.4529779834118,863.3244826745697,597.5108401501583,939.3136429168137,880.3150994165031,1148.7463419975477,,,,557.3635791148114,,523.1450598594404,,488.28051029262366,,,502.7854321122028,855.6089761204901,649.9325852752793,971.4194952939821,,818.1714377179915,,1435.9360457769724,1273.102563234532,,,,534.4866387135867,,,,,,,,,,,,,,,,,,,,,,,,489.76401519695986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
