,,mobile,board,global,way,director,financial,development,add,country,good,world,system,datum,provide,product,people,help,time,use,asia,industry,work,market,technology,new,customer,need,service,business,company,low,fall,export,point,increase,japanese,trade,report,high,bank,continue,sector,policy,airline,economist,inflation,government,rate,expect,china,month,rise,economic,japan,economy,growth,local,keppel,supply,firm,trading,large,water,day,project,state,oil price,cost,come,week,billion,stock,gas,price,oil,term,risk,kong,hong kong,group,hong,interest,capital,bond,asset,fund,investor,investment,launch,operator,manager,plant,mall,award,fee,design,public,solar,trust,hotel,unit,bus,property,energy,reit,income,result,ago,yesterday,loss,2014,net profit,earning,end,share,profit,net,quarter,revenue,home,find,chef,include,start,run,play,open,artist,look,know,wine,restaurant,old,food,want,like,art,issue,stake,offer,acquisition,acquire,average,shareholder,close,value,purchase,holding,buy,2013,sale,square,rent,residential,building,developer,sq ft,ft,psf,office,space,area,sq,land,site,pay,minister,big,small,speed,drive,engine,vehicle,model,premium,coe,cat,sport,tax,worker,car,counter,exchange,noble,list,sgx,dollar,equity,build,ship,management,develop,programme,international,information publish,publish,base,corporate,information,remain,2015,productivity,change,future,sme,job,support,singaporean,lee,place,brand,buyer,estate,private,party,sell,partner,team,network,region,startup,platform,city,south,republican,lead,member,asian,leader,asean,chinese,political,american,president,insurance,plan,life,insurer,win,leave,european,brexit,uk,eu,court,charge,malaysia,authority,mas,investigation,money,transaction,account,deal,1mdb,interest rate,fiscal,currency,yen,central bank,monetary,central,2016,foreign,donald,east,clinton,candidate,election,presidential,trump,consumer,payment,innovation,film,social,manage,organisation,security,road,lease,2017,solution,digital,house,thing,think,kmh,agent,second,demand,port,grow,index,fed,debt,hike,note,hold,target price,target,tender,club,green,line,construction,golf,watch,north,korea,airport,south east,grab,chairman,propose,governance,restructuring,independent,executive,set,serve,experience,star,feature,feel,create,white,believe,washington,president trump,period,2018,real estate,dial,dbs,event,case,wealth,raise,child,swiss,gold,movement,charity,banking,client,timepiece,31,2019,general,plastic,fair,medical,dr,waste,power,agreement,hyflux,online,venture,dish,kitchen,bar,menu,dining,room,flat,centre,tech,culture,ceo,employee
2014,0,1410.2320669780936,1424.7291580318847,1435.3564353877866,1445.7368873035343,1485.4251712317134,1491.0164369364384,1496.321476466457,1501.2035469737978,1599.102042616058,1650.161526777668,1665.9830363756855,1686.687850381853,1797.0254605795296,1843.6375563009685,2056.0462533381856,2093.508540435802,2095.6655122670236,2235.1975314700726,2259.2189708360215,2265.5634691699206,2480.0410039808835,2482.1965700061915,2703.085362801474,2845.2487705331905,2883.671269271878,2951.4431684355736,3201.968974717087,3620.989432581063,5835.501385187165,7647.4751468407785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,,,1189.0991239639961,,,,,,1089.4405360557782,,,,,,,,,,,1196.382182786478,,,2054.253044353267,,,,,,,,1025.8507299936227,1028.6878863907082,1057.9320386850147,1098.2536660016533,1123.6565997531018,1139.5476804918835,1165.6053985392632,1199.3966353980377,1212.7529140270874,1262.6568944598644,1271.1614189330974,1333.4686442405116,1370.0815266419436,1386.7457354521923,1393.7941010647664,1403.486622204683,1549.6322050372194,1549.6421083712419,1638.9239455803665,1680.9127610156545,1685.881039325674,1733.8758189246635,2062.564544937663,2913.9672306670213,2968.691266148587,3900.6296991992967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,,,,,,,,417.31460415142095,602.9026110095607,,,,,,,,,698.3872563136533,,,478.0994844620173,,1479.8482760992883,,,,,,,690.2205664144149,458.47146359724616,,,422.26220948535826,,,,,570.1438656802694,,,,,,,,580.2863168212077,,,,493.6171576714432,,,,,,424.798258488504,427.8480019295591,429.20441327389216,443.26514853202474,446.9033756798594,478.777242266754,494.986915735486,510.5405793347879,533.8121170299753,539.1759310612516,556.315897113612,561.7489683771927,566.8035275869726,582.1686215001304,679.3415294073188,699.5605187192216,803.3457713402315,1436.0318365413711,2128.0658568722065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,,,2341.557511967879,,,2333.4668801481007,,,1576.33572009702,,,,,,,,,2164.9367292551015,,3224.624675917418,,,6842.269569429955,,2400.7855210329385,,,,2955.3408988516035,2766.2161868719827,,,,,,,1654.8724373197397,,1851.5499180503937,7066.620070831477,,,,,,,,2248.1770183444705,,4354.720599427141,,,,,,1740.6562927949558,,,,,,1601.5418355731467,,,,,,,,,2804.190496746653,,,,,1472.7482277321653,1491.4243678596822,1637.9454267456529,1640.599692280589,1680.6600498411738,1718.3636672455573,1726.8969062037825,1817.2358417567727,2038.8536623650923,2093.975195324371,2458.344079171564,2842.0197830583425,2961.179248386174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,,,,,,,234.14429981898985,175.99324137833793,,,,,,,,,,163.71366900193112,216.17199684065088,,186.13116760351468,,169.93527339788076,,370.93009480958517,,,618.2710008805838,240.3155782792052,158.0591736192682,,,,,198.63430622426733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.7647202529061,,,,,,,,,,,,,,,284.22939969578977,,,,,,,,,165.37851565697693,166.4018031279681,176.02490511192957,180.30246579351697,192.33287187694359,197.15361922702363,198.61053838101554,199.82939013078786,200.77969534678925,219.59757738284765,238.633595267503,253.95543849653774,300.4776302334316,340.64104410323756,354.3303199008239,417.3549530865459,743.5419036059715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,5,,,,,,,,,,,,,,,,,,,,,,,2447.396335653658,,,,,,1716.346668974394,1324.6561363522726,1619.1824396112106,1412.4807287207595,,,1496.65472073971,,,1159.7156489871124,2432.160400675437,,1189.618644445289,,,,,,,,1681.5592396151983,,1761.9691626270092,2132.032898751568,,,,1749.937534371052,,,,,,,,,,,,,,,2112.956550580078,1640.4969986432948,,,,,,,,2629.8197328713713,,,,,,,,,,,,,,,,,,,,,,,,,,1132.5407392448221,1193.4452829198535,1407.740368206324,1437.0977058854628,1451.8615504270103,1530.816017727701,1605.5408527759068,2206.9235090636816,2459.807608095692,2564.4779984785396,3088.313745620978,3270.631714172313,3529.046618691698,3549.509294940957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,6,,,,1418.2938568731981,,,,,,2577.0874242201307,1653.2480547806124,,,,,2191.883536014654,,2757.3875052708554,1532.7239008729318,,,3580.865806824003,,,2336.210224732389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1203.7878630500538,,,,,,,1578.3583638643652,,,,,2027.7115757947424,,,,,,,,,,,,,,,,,,,,,,,,,,,1653.6320137907242,,,,,,,,,,,,,,,,,,,,,,,,1229.499101104164,1242.2813526081902,1254.6676412986892,1256.404309619671,1262.8124326008426,1279.3599414583582,1466.9639027717103,1470.4240172242007,1470.4514805912313,1520.5560647082648,1563.1662340482424,1588.0761082121323,1661.152245806468,1751.4734653083146,1797.330566284195,1888.5892296871195,2888.4411955309283,3329.4299905550774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,7,,,,,1119.4135370308281,,,,,,,,,,,,,,,,,,1793.787312263809,,,,,,,2151.873595494064,,,,,,,1394.393522718056,,1123.7131418699364,,,,,,,,,,,,1170.5613186193998,,,,,,,,,,,,,,,,,,,,,1317.3746824000227,,5272.5362539505395,,,,,,2093.2458652818186,,1169.4168030688538,1058.570211304474,,,,,1494.1646354425895,,,,,,,,,,,,,1636.4202605123994,,2622.0218287769953,,,,,,,,,,,,7155.599312254476,,,1188.961138180393,,,,,,,,,,,,,,,,,,,,1063.0012123970823,1134.845868032005,1141.9657197065976,1263.6106729015587,1336.3126317489634,1414.1304261209648,1474.2149233656635,1588.6703500488825,1630.4416230407085,1679.9947488663356,1728.1680849223105,1769.5526986328064,1833.0713007619381,2010.5018877300784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,8,,,,,,,1338.5364491303471,,,,,,,,,,,,772.3812950827245,,,,970.2229016136159,,1173.8934703684863,,,,1023.1801123281081,,,,,,,,,,927.3071902906374,,,,,,,,,,730.8504204341557,,,,,,,,,,,,,,,,1879.7852583790227,,,,,,,,,1399.4272730481466,,,,,,866.7672116249123,,,,,,,,,879.6488348353394,,,,,,,,,,,,2302.850054735041,,1622.3857709794534,,,,,,,,,,,,,,,,,822.1471709149997,,,770.862119758688,,,,,,,,,,,,,,,,,,,,,,,,,,,,879.8356028881094,732.1281972033646,793.1718114606109,841.1543522231293,995.1978462348825,1065.9246166708201,1066.6533265484825,1072.860958286443,1117.8662394657176,1152.8335566724522,1236.205501293725,1285.6049995260241,1344.4494817287637,1439.3138465619338,1741.383674665115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,9,,,,,,,,,,616.1963904297105,409.605689453287,,,,,,,643.7705237690451,482.0844826301418,,,,,,1455.3452270616326,,406.49939965330486,,541.700269305001,655.8771467347752,562.3617750089127,,,,524.4030287623208,,,,917.628815724339,,,,,,,,740.8468005934319,,,,460.6726896433717,,,,,,,,,,,,,,,,,,503.4339844209033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.80196095741076,419.93856269189314,429.50410891546557,433.40122692606724,457.49924050530905,548.3505927486441,555.2701844236185,575.837008716857,636.6994142510866,641.5767732721481,651.4987513563794,658.7390168507148,713.6930985974269,842.2393128255333,967.7633396263278,1419.0426208248296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
