,date,gdp_growth,composite,industrial,merch,retail
0,2014Q1,4.3,0.6,9.6,7.5,-1.0
1,2014Q2,3.3,0.6,1.4,-0.7,-5.8
2,2014Q3,3.6,-0.1,1.7,-4.1,2.4
3,2014Q4,4.4,0.2,-1.2,-4.6,5.8
4,2015Q1,2.9,-0.5,-4.3,-10.3,3.5
5,2015Q2,3.0,-0.6,-4.3,-10.3,6.3
6,2015Q3,3.5,-2.5,-5.7,-8.2,5.5
7,2015Q4,2.1,-3.7,-6.2,-6.7,3.2
8,2016Q1,3.1,-1.9,-0.4,-11.0,2.6
9,2016Q2,2.5,-1.1,1.6,-6.0,1.9
10,2016Q3,2.4,1.6,1.8,-6.6,1.0
11,2016Q4,3.9,3.4,11.8,4.0,0.5
12,2017Q1,3.7,7.3,8.4,16.3,1.1
13,2017Q2,3.0,5.7,8.6,9.5,0.5
14,2017Q3,4.6,6.4,19.3,11.6,0.4
15,2017Q4,3.6,7.4,5.8,7.8,3.0
16,2018Q1,4.6,3.7,10.0,2.5,-1.7
17,2018Q2,4.2,3.5,10.6,10.2,0.4
18,2018Q3,2.6,1.5,3.5,14.7,-1.0
19,2018Q4,1.3,-0.6,4.6,9.2,-2.4
20,2019Q1,1.1,-0.3,-0.3,2.1,-0.6
21,2019Q2,0.1,-1.3,-3.1,-2.2,-4.6
